Gen	Fitness	BiSection Cost
0	308	155
1	308	155
2	308	155
3	309	154
4	309	150
5	309	150
6	310	150
7	310	142
8	310	142
9	310	142
10	310	142
11	310	142
12	310	142
13	310	135
14	310	135
15	310	135
16	310	135
17	310	135
18	310	135
19	310	135
20	310	135
21	310	135
22	310	135
23	310	135
24	310	135
25	310	135
26	310	135
27	310	135
28	310	135
29	310	135
30	310	135
31	310	135
32	310	135
33	310	135
34	310	135
35	310	135
36	310	135
37	310	135
38	310	135
39	310	135
40	310	135
41	310	135
42	310	135
43	310	135
44	310	135
45	310	135
46	310	135
47	310	135
48	310	135
49	310	135
50	310	135
51	310	135
52	310	135
53	310	135
54	310	135
55	310	135
56	310	135
57	310	135
58	310	135
59	310	135
60	310	135
61	310	135
62	310	135
63	310	135
64	310	135
65	310	135
66	310	135
67	310	135
68	310	135
69	310	135
70	310	135
71	310	135
72	310	135
73	310	135
74	310	135
75	310	135
76	310	135
77	310	135
78	310	135
79	310	135
80	310	135
81	310	135
82	310	135
83	310	135
84	310	135
85	310	135
86	310	135
87	310	135
88	310	135
89	310	135
90	310	135
91	310	135
92	310	135
93	310	135
94	310	135
95	310	135
96	310	135
97	310	135
98	310	135
99	310	135
100	310	135
101	310	135
102	310	135
103	310	135
104	310	135
105	310	135
106	310	135
107	310	135
108	310	135
109	310	135
110	310	135
111	310	135
112	310	135
113	310	135
114	310	135
115	310	135
116	310	135
117	310	135
118	310	135
119	310	135
120	310	135
121	310	135
122	310	135
123	310	135
124	310	135
125	310	135
126	310	135
127	310	135
128	310	135
129	310	135
130	310	135
131	310	135
132	310	135
133	310	135
134	310	135
135	310	135
136	310	135
137	310	135
138	310	135
139	310	135
140	310	135
141	310	135
142	310	135
143	310	135
144	310	135
145	310	135
146	310	135
147	310	135
148	310	135
149	310	135
150	310	135
151	310	135
152	310	133
153	310	133
154	310	133
155	310	133
156	310	133
157	310	133
158	310	133
159	310	133
160	310	133
161	310	133
162	310	133
163	310	133
164	310	133
165	310	133
166	310	133
167	310	133
168	310	133
169	310	133
170	310	133
171	310	133
172	310	133
173	310	133
174	310	133
175	310	133
176	310	133
177	310	133
178	310	133
179	310	133
180	310	133
181	310	133
182	310	133
183	310	133
184	310	133
185	310	133
186	310	133
187	310	133
188	310	133
189	310	133
190	310	133
191	310	133
192	310	133
193	310	133
194	310	133
195	310	133
196	310	133
197	310	133
198	310	133
199	310	133
200	310	133
201	310	133
202	310	133
203	310	133
204	310	133
205	310	133
206	310	133
207	310	133
208	310	133
209	310	133
210	310	133
211	310	133
212	310	133
213	310	133
214	310	133
215	310	133
216	310	133
217	310	133
218	310	133
219	310	133
220	310	133
221	310	133
222	310	133
223	310	133
224	310	133
225	310	133
226	310	133
227	310	133
228	310	133
229	310	133
230	310	133
231	310	133
232	310	133
233	310	133
234	310	133
235	310	133
236	310	133
237	310	133
238	310	133
239	310	133
240	310	133
241	310	133
242	310	133
243	310	133
244	310	133
245	310	133
246	310	133
247	310	133
248	310	133
249	310	133
250	310	133
251	310	133
252	310	133
253	310	133
254	310	133
255	310	133
256	310	133
257	310	133
258	310	133
259	310	133
260	310	133
261	310	133
262	310	133
263	310	133
264	310	133
265	310	133
266	310	133
267	310	133
268	310	133
269	310	133
270	310	133
271	310	133
272	310	133
273	310	133
274	310	133
275	310	133
276	310	133
277	310	133
278	310	133
279	310	133
280	310	133
281	310	133
282	310	133
283	310	133
284	310	133
285	310	133
286	310	133
287	310	133
288	310	133
289	310	133
290	310	133
291	310	133
292	310	133
293	310	133
294	310	133
295	310	133
296	310	133
297	310	133
298	310	133
299	310	133
300	310	133
301	310	133
302	310	133
303	310	133
304	310	133
305	310	133
306	310	133
307	310	133
308	310	133
309	310	133
310	310	133
311	310	133
312	310	133
313	310	133
314	310	133
315	310	133
316	310	133
317	310	133
318	310	133
319	310	133
320	310	133
321	310	133
322	310	133
323	310	133
324	310	133
325	310	133
326	310	133
327	310	133
328	310	133
329	310	133
330	310	133
331	310	133
332	310	133
333	310	133
334	310	133
335	310	133
336	310	133
337	310	133
338	310	133
339	310	133
340	310	133
341	310	133
342	310	133
343	310	133
344	310	133
345	310	133
346	310	133
347	310	133
348	310	133
349	310	133
350	310	133
351	310	133
352	310	133
353	310	133
354	310	133
355	310	133
356	310	133
357	310	133
358	310	133
359	310	133
360	310	133
361	310	133
362	310	133
363	310	133
364	310	133
365	310	133
366	310	133
367	310	133
368	310	133
369	310	133
370	310	133
371	310	133
372	310	133
373	310	133
374	310	133
375	310	133
376	310	133
377	310	133
378	310	133
379	310	133
380	310	133
381	310	133
382	310	133
383	310	133
384	310	133
385	310	133
386	310	133
387	310	133
388	310	133
389	310	133
390	310	133
391	310	133
392	310	133
393	310	133
394	310	133
395	310	133
396	310	133
397	310	133
398	310	133
399	310	133
400	310	133
401	310	133
402	310	133
403	310	133
404	310	133
405	310	133
406	310	133
407	310	133
408	310	133
409	310	133
410	310	133
411	310	133
412	310	133
413	310	133
414	310	133
415	310	133
416	310	133
417	310	133
418	310	133
419	310	133
420	310	133
421	310	133
422	310	133
423	310	133
424	310	133
425	310	133
426	310	133
427	310	133
428	310	133
429	310	133
430	310	133
431	310	133
432	310	133
433	310	133
434	310	133
435	310	133
436	310	133
437	310	133
438	310	133
439	310	133
440	310	133
441	310	133
442	310	133
443	310	133
444	310	133
445	310	133
446	310	133
447	310	133
448	310	133
449	310	133
450	310	133
451	310	133
452	310	133
453	310	133
454	310	133
455	310	133
456	310	133
457	310	133
458	310	133
459	310	133
460	310	133
461	310	133
462	310	133
463	310	133
464	310	133
465	311	133
466	311	126
467	311	126
468	311	126
469	311	126
470	311	126
471	311	126
472	311	126
473	311	126
474	311	126
475	311	126
476	311	126
